ip_address;apache_date;apache_tz;request;request_args;HTTP_version;return_code;data_size;referer;client
89.251.55.16;17/Mar/2015:08:59:34;-0400;GET / ;;HTTP/1.1;200;39585;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:08:59:34;-0400;GET /favicon.ico ;;HTTP/1.1;404;307;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
10.224.158.6;17/Mar/2015:09:10:29;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
10.224.158.6;17/Mar/2015:09:10:30;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
10.224.158.6;17/Mar/2015:10:10:47;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
10.224.158.6;17/Mar/2015:10:10:47;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
10.224.158.6;17/Mar/2015:11:11:08;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
10.224.158.6;17/Mar/2015:11:11:08;-0400;HEAD / ;;HTTP/1.1;200;-;-;Ruby
89.251.55.16;17/Mar/2015:11:23:36;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:24:41;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:24:42;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:24:54;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:24:57;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:24:59;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:25:00;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:25:45;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:27:09;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
89.251.55.16;17/Mar/2015:11:27:10;-0400;GET / ;;HTTP/1.1;200;39665;-;Mozilla/5.0 (X11, Ubuntu, Linux x86_64, rv:35.0) Gecko/20100101 Firefox/35.0
